category,year,tnd_million,status,source_url
Operating expenditure,2022,37682.0,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Operating expenditure,2023,38962.6,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Operating expenditure,2024,40311.2,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Operating expenditure,2025,42307.7,provisional actual,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Wages,2022,21123.2,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Wages,2023,21696.6,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Wages,2024,22268.2,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Wages,2025,23275.8,provisional actual,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Goods and services,2022,1930.8,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Goods and services,2023,2273.7,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Goods and services,2024,2565.2,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Goods and services,2025,2605.7,provisional actual,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Transfers and interventions,2022,14628.0,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Transfers and interventions,2023,14992.3,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Transfers and interventions,2024,15477.8,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Transfers and interventions,2025,16426.2,provisional actual,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Capital expenditure,2022,8281.5,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Capital expenditure,2023,9147.0,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Capital expenditure,2024,9874.1,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Capital expenditure,2025,9704.4,provisional actual,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Direct investment,2022,2653.0,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Direct investment,2023,3361.5,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Direct investment,2024,3629.4,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Direct investment,2025,3903.1,provisional actual,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Interest,2022,4663.4,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Interest,2023,5830.5,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Interest,2024,6290.7,official series,https://www.finances.gov.tn/fr/les-indicateurs/depenses
Interest,2025,6458.5,provisional actual,https://www.finances.gov.tn/fr/les-indicateurs/depenses
