period,indicator,value,unit,status,notes,source
2024,Gross fixed capital formation,24.302,TND billion,actual,Current prices,BCT Annual Report 2025
2025,Gross fixed capital formation,26.760,TND billion,actual,Current prices; 5.4 percent real growth,BCT Annual Report 2025
2026,Gross fixed capital formation,29.979,TND billion,forecast,Current prices,BCT Annual Report 2025
2024,Investment rate,15.2,percent of GDP,actual,Gross fixed capital formation share,BCT Annual Report 2025
2025,Investment rate,15.5,percent of GDP,actual,Gross fixed capital formation share,BCT Annual Report 2025
2026,Investment rate,16.0,percent of GDP,forecast,Gross fixed capital formation share,BCT Annual Report 2025
2025,Agriculture GFCF,1.307,TND billion,actual,4.9 percent of total,BCT Annual Report 2025
2025,Industry GFCF,7.378,TND billion,actual,27.6 percent of total,BCT Annual Report 2025
2025,Services GFCF,13.685,TND billion,actual,51.1 percent of total,BCT Annual Report 2025
2025,Collective equipment GFCF,4.390,TND billion,actual,16.4 percent of total,BCT Annual Report 2025
2024,Foreign direct investment inflows,2.6954,TND billion,actual,Recorded flows,FIPA
2025,Foreign direct investment inflows,3.5065,TND billion,actual,Recorded flows; up 30.1 percent,FIPA and BCT
2026-Q1,Foreign direct investment inflows,0.8244,TND billion,actual,Up 17.2 percent year-on-year,FIPA
2025,Declared investment,8.3564,TND billion,declared,Registered intentions; not comparable with FDI,TIA
2025,FDI jobs created excluding energy,14085,jobs,reported outcome,921 operations,FIPA
2025,New foreign-investment projects,102,projects,reported outcome,TND 356.6 million and 3914 jobs,FIPA
2025,Foreign-investment expansions,819,projects,reported outcome,TND 2.579 billion and 10171 jobs,FIPA
2026,Declared-to-operational cohort conversion,NA,percent,not published,A comparable cohort tracker is required,TIA FIPA and APII should publish
2026,Public priority-project capital execution,NA,percent,not published,No comparable portfolio execution rate found,Ministry of Economy and Planning should publish
