indicator,value,unit,source
Unemployment rate,15.0,percent,"INS, Q1 2026"
Unemployed people,641.7,thousand_people,"INS, Q1 2026"
Male unemployment,12.3,percent,"INS, Q1 2026"
Female unemployment,20.7,percent,"INS, Q1 2026"
Youth unemployment age 15-24,37.5,percent,"INS, Q1 2026"
Graduate unemployment,24.2,percent,"INS, Q1 2026"
Male graduate unemployment,14.2,percent,"INS, Q1 2026"
Female graduate unemployment,32.0,percent,"INS, Q1 2026"
Activity rate,45.9,percent,"INS, Q1 2026"
Employment in services,52.9,percent_of_employment,"INS, Q1 2026"
Employment in manufacturing,19.0,percent_of_employment,"INS, Q1 2026"
Employment in non-manufacturing,12.3,percent_of_employment,"INS, Q1 2026"
Employment in agriculture and fishing,15.7,percent_of_employment,"INS, Q1 2026"
