date,company,authority,action,status,what_to_verify_next,source_url
2025-02-14,Tunisie Telecom,Tunisie Telecom,Commercial 5G launch,implemented,Independent regional quality and affordability results,https://www.tunisietelecom.tn/particulier/5g/
2025-03-28,Tunisair,Ministry of Transport,Ordered detailed maintenance planning and continuous availability of 14 aircraft,in progress,Monthly number of serviceable aircraft and completed maintenance checks,https://www.transport.tn/fr/aviation/article/506/wzyr-lnql-rshyd-mry-ytfqd-syr-l-ml-b
2025-07-05,Tunisair,Ministry of Transport,Acknowledged serious service deterioration and public dissatisfaction and changed the state board representative,in progress,Named turnaround owner timetable and customer-service KPIs,https://www.transport.tn/fr/aviation/article/539/mise-au-point-situation-de-tunisair
2025-10-03,Tunisair,Ministry of Transport,Maintenance follow-up cell reported 68 percent completion and EASA Part-145 approval was renewed,in progress,Aircraft availability dispatch reliability and overdue work orders,https://www.transport.tn/fr/aviation/article/553/le-ministre-des-transports-supervise-letat-davancement-des-travaux-de-la-cellule-chargee-du-suivi-de-la-maintenance-de-la-flotte
2025,Tunisie Telecom,INTT,Decision 2025-16 updated the 2G 3G and 4G quality-evaluation framework,implemented,Operator-level results complaints and remedy deadlines,https://intt.tn/fr/index.php?actu=1055&typeactu=89
2025-2028,STEG,Government and World Bank,TEREG program links financing to subsidy reduction operational improvement and renewable-energy delivery,in progress,Quarterly disbursement-linked results and audited STEG financial effects,https://documents1.worldbank.org/curated/en/099031525065039924/pdf/P507304-161c6028-502c-4281-85b6-9e7f219973d9.pdf
2026-03,SONEDE,Government and World Bank,Approved USD 208.5 million potable-water security and resilience component,approved,Procurement leakage reduction interruption duration and beneficiary milestones,https://www.worldbank.org/en/news/press-release/2026/04/01/tunisia-major-push-to-strengthen-water-security-and-resilience
2026-02,All public enterprises,Presidency of Government ENA and World Bank,Completed governance and financial-oversight training for nearly 48 state board members,completed,Board selection criteria attendance decisions and performance effect,https://www.worldbank.org/en/programs/teri/brief/strengthening-board-capacity-for-governance-in-tunisia-s-public-enterprises
2026-07,Energy public enterprises,Presidency of Government,Announced stronger financial governance and revision of the regulatory framework,in preparation,Draft laws implementation dates and entity-level reporting requirements,https://www.pm.gov.tn/fr/detail-decision/2519
2026-07,All public enterprises,Presidency of Government,2026-2030 plan includes reform of public structures and enterprises with annual and mid-term evaluation,legislative process,Adopted plan law annual scorecard and company-specific targets,https://pm.gov.tn/fr/detail-decision/3095
