company,market_status,period,indicator,value,unit,status,interpretation,source_url
Tunisair,BVMT listed,2025,Passengers,2486888,passengers,actual,Down 4.8 percent from 2024,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/indicateurs/indic_4trim25_tunisair.pdf
Tunisair,BVMT listed,2025,Load factor,76.1,percent,actual,Up 3.0 percentage points from 2024,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/indicateurs/indic_4trim25_tunisair.pdf
Tunisair,BVMT listed,2025,Transport revenue,1627,TND million,actual,Roughly flat against 2024,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/indicateurs/indic_4trim25_tunisair.pdf
Tunisair,BVMT listed,2025,Punctuality under 15 minutes,37,percent,actual,Down from 46 percent in 2024,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/indicateurs/indic_4trim25_tunisair.pdf
Tunisair,BVMT listed,2025,Market share,20,percent,actual,Down from 22 percent in 2024,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/indicateurs/indic_4trim25_tunisair.pdf
Tunisair,BVMT listed,2025,Debt,638,TND million,actual,Up 3.1 percent from 2024,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/indicateurs/indic_4trim25_tunisair.pdf
Tunisair,BVMT listed,2025,Employees,2586,employees,actual,Down 9.3 percent from 2024,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/indicateurs/indic_4trim25_tunisair.pdf
Tunisair,BVMT listed,2025,Aircraft on operator certificate,19,aircraft,actual,Not the same as aircraft continuously serviceable,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/indicateurs/indic_4trim25_tunisair.pdf
Tunisair,BVMT listed,2023,Audited standalone net result,-282.710,TND million,actual,Accounts were approved only in May 2026,https://www.cmf.tn/sites/default/files/pdfs/publications/bulletin-officiel/bo260526.pdf
Tunisair,BVMT listed,2025,AirHelp Score,4.71,score out of 10,private ranking,Third-lowest score among 117 airlines; passenger-experience methodology and not a safety ranking,https://www.airhelp.com/en-int/press/air-help-reveals-the-best-and-worst-airlines-in-2025-air-help-score/
Tunisie Telecom,Not BVMT listed,2025,Regulated operator revenue,1243.55,TND million,actual,Excludes ISP entities reported separately by the regulator,https://www.intt.tn/upload/files/Rapport%20Financier%202025%20%281%29.pdf
Tunisie Telecom,Not BVMT listed,2025,Fixed-data revenue,438.09,TND million,actual,Largest reported operator revenue line,https://www.intt.tn/upload/files/Rapport%20Financier%202025%20%281%29.pdf
Tunisie Telecom,Not BVMT listed,2025,Mobile-data revenue,345.61,TND million,actual,Regulator-reported revenue,https://www.intt.tn/upload/files/Rapport%20Financier%202025%20%281%29.pdf
Tunisie Telecom,Not BVMT listed,2025,Mobile-voice revenue,327.82,TND million,actual,Regulator-reported revenue,https://www.intt.tn/upload/files/Rapport%20Financier%202025%20%281%29.pdf
Tunisie Telecom,Not BVMT listed,2025,Average download speed,77.2,Mbps,company-reported third-party result,nPerf result published by Tunisie Telecom,https://www.tunisietelecom.tn/particulier/actualite/tt-nperf-2025/
Tunisie Telecom,Not BVMT listed,2006-current,State ownership,65,percent,ownership inference,Company history states that 35 percent of capital was opened to the Emirati TeCom-DIG consortium in 2006,https://www.tunisietelecom.tn/particulier/a-propos-de-tt/
BNA,BVMT listed state-controlled,2025,Net income,274.5,TND million,actual,Up 7.8 percent from 2024,https://www.cmf.tn/sites/default/files/pdfs/publications/bulletin-officiel/bo260331.pdf
BNA,BVMT listed state-controlled,2025,Net banking income,1087.1,TND million,actual,Up 11.4 percent from 2024,https://www.cmf.tn/sites/default/files/pdfs/publications/bulletin-officiel/bo260331.pdf
BNA,BVMT listed state-controlled,2025,Equity,2372.9,TND million,actual,Up 9.8 percent from 2024,https://www.cmf.tn/sites/default/files/pdfs/publications/bulletin-officiel/bo260331.pdf
STB Bank,BVMT listed state-controlled,2025,Net income,65.9,TND million,actual,Down 20.1 percent from 2024,https://www.cmf.tn/sites/default/files/pdfs/publications/bulletin-officiel/bo260417.pdf
STB Bank,BVMT listed state-controlled,2025,Consolidated net income,58.7,TND million,actual,Down 35.6 percent from 2024,https://www.cmf.tn/sites/default/files/pdfs/publications/bulletin-officiel/bo260417.pdf
BH Bank,BVMT listed state-controlled,2025,Net income,39.769,TND million,actual,Down 43.5 percent from restated 2024,https://www.cmf.tn/sites/default/files/pdfs/publications/bulletin-officiel/bo260424.pdf
BH Bank,BVMT listed state-controlled,2025,Net banking income,692.6,TND million,actual,Down 1.2 percent from restated 2024,https://www.cmf.tn/sites/default/files/pdfs/publications/bulletin-officiel/bo260424.pdf
SOTETEL,BVMT listed state-linked,2024,Net income,4.104,TND million,actual,Tunisie Telecom owns 35 percent and the free float is 65 percent,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/rapports-societes/sotetel_rag_31.12.2024.pdf
STEG,Not BVMT listed,2026-05,Gas share of electricity generation,91,percent,sector operating indicator,Shows fuel and foreign-exchange concentration rather than company profitability,https://www.energiemines.gov.tn/fr/tc/publications/
STEG,Not BVMT listed,2025-2028,Expected subsidy reduction under TEREG,2045,TND million,official program target,Cumulative target and not realized savings,https://documents1.worldbank.org/curated/en/099031525065039924/pdf/P507304-161c6028-502c-4281-85b6-9e7f219973d9.pdf
SONEDE,Not BVMT listed,2026,Potable-water physical losses,23,percent,project baseline,Share of potable water not reaching consumers because of leakage,https://documents1.worldbank.org/curated/en/099120225064535353/pdf/P514340-0c12aeb0-e40b-41c1-9cb6-b20b7bb4e3d2.pdf
SONEDE,Not BVMT listed,2026,Potable-water resilience financing,208.5,USD million,approved financing,World Bank program component,https://www.worldbank.org/en/news/press-release/2026/04/01/tunisia-major-push-to-strengthen-water-security-and-resilience
SNCFT,Not BVMT listed,2026,Current consolidated audited financial statements,NA,not available,disclosure gap,No current consolidated audited statements were found in the reviewed official public sources,https://www.finances.gov.tn/sites/default/files/2024-09/rapport1.pdf
