period,indicator,value,unit,status,notes,source
2025,Bank credit to public enterprises,16.598,TND billion,actual,Up about 14.7 percent year-on-year,BCT Annual Report 2025
2025,Bank public-sector financing share of assets,27.6,percent,actual,Up from 24.7 percent in 2024,BCT Annual Report 2025
2026,New state-guarantee authorization ceiling,7.000,TND billion,legal ceiling,Not outstanding guaranteed debt,2026 Finance Law
2025_to_2028,TEREG expected STEG subsidy reduction,2.045,TND billion,official program target,Cumulative target not realized savings,World Bank TEREG appraisal
2025_to_2028,TEREG expected STEG net-result improvement,2.951,TND billion,official program target,Cumulative target before subsidies and taxes,World Bank TEREG appraisal
2026,Consolidated SOE debt,NA,TND billion,not published currently,No current consolidated audited stock found by cut-off,Ministry of Finance should publish annually
2026,Outstanding guaranteed SOE debt,NA,TND billion,not published currently,Authorization ceiling does not reveal stock or expected loss,Ministry of Finance should publish quarterly
2026,SOE budget transfers by entity,NA,TND billion,partial,Budget categories exist but a current consolidated entity table is needed,Ministry of Finance should publish quarterly
2026,SOE arrears to government and social funds,NA,TND billion,not published currently,Cross-debt reconciliation is required,Ministry of Finance should publish quarterly
2026,Government arrears to SOEs,NA,TND billion,not published currently,Cross-debt reconciliation is required,Ministry of Finance should publish quarterly
2026,SOE bank exposure by entity,NA,TND billion,not published currently,Aggregate public-enterprise credit is available but entity concentration is not,BCT should publish quarterly
2026,SOE supplier payment delays,NA,days,not published,Required to measure private-sector crowding out,SOEs and Ministry of Finance should publish quarterly
2026,Audited statements filed on time,NA,percent of SOEs,not published currently,Needed to enforce reporting deadlines,Ministry of Finance should publish annually
